"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Numero dei laureati";"1619";"557";"270";"510";"282"
"Hanno compilato il questionario";"1595";"545";"267";"503";"280"
"Tasso di compilazione";"98,5";"97,8";"98,9";"98,6";"99,3"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Genere (%)";" ";" ";" ";" ";" "
"Uomini";"66,0";"60,1";"87,4";"76,1";"39,0"
"Donne";"34,0";"39,9";"12,6";"23,9";"61,0"
"Età alla laurea (%) ";" ";" ";" ";" ";" "
"Meno di 23 anni";"13,0";"11,8";"13,7";"16,9";"7,8"
"23-24 anni";"25,5";"27,6";"21,1";"28,4";"20,2"
"25-26 anni";"28,2";"28,4";"25,6";"28,2";"30,1"
"27 anni e oltre";"33,3";"32,1";"39,6";"26,5";"41,8"
"Età alla laurea (medie, in anni)";"26,3";"26,2";"26,9";"25,7";"27,0"
"Cittadini stranieri (%) ";"0,6";"0,9";"0,4";"0,2";"0,7"
"Residenza (%)";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"65,7";"65,9";"58,5";"65,7";"72,0"
"Altra provincia della stessa regione";"30,2";"30,9";"35,9";"29,4";"24,8"
"Altra regione";"4,1";"3,2";"5,6";"4,9";"2,8"
"Estero";"0,1";"-";"-";"-";"0,4"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" "
"Entrambi con laurea";"9,3";"8,1";"8,2";"11,5";"8,9"
"Uno solo con laurea";"17,1";"15,8";"19,1";"17,7";"16,8"
"Scuola media superiore";"48,2";"47,2";"47,2";"49,5";"48,6"
"Titoli inferiori o nessun titolo";"23,8";"27,5";"23,6";"19,7";"24,3"
"Classe sociale (%) ";" ";" ";" ";" ";" "
"Classe elevata";"19,1";"20,7";"15,7";"17,9";"21,1"
"Classe media impiegatizia";"31,0";"28,8";"33,7";"32,8";"29,6"
"Classe media autonoma";"22,9";"24,6";"18,4";"22,3";"25,0"
"Classe del lavoro esecutivo";"24,5";"23,3";"29,6";"24,3";"22,5"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" "
"Liceo classico";"7,6";"6,1";"3,0";"7,5";"15,2"
"Liceo linguistico";"1,3";"1,1";"1,1";"0,6";"3,2"
"Liceo scientifico";"65,3";"62,1";"55,6";"76,9";"60,3"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,6";"0,5";"0,7";"0,4";"0,7"
"Tecnico";"22,6";"28,7";"37,4";"13,5";"12,8"
"Professionale";"0,7";"0,2";"1,1";"0,8";"1,4"
"Istruzione artistica";"1,6";"1,3";"0,7";"0,4";"5,3"
"Titolo estero";"0,2";"-";"0,4";"-";"1,1"
"Voto di diploma (medie, in 100-mi) ";"87,8";"87,0";"89,3";"88,9";"86,0"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"64,9";"65,4";"56,3";"64,9";"72,3"
"In una provincia limitrofa";"27,2";"24,8";"35,2";"28,2";"22,3"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"7,5";"9,7";"7,8";"6,7";"4,3"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,1";"0,2";"-";"0,2";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,1";"-";"0,4";"-";"-"
"All'estero";"0,2";"-";"0,4";"-";"1,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"35,8";"37,6";"40,1";"45,7";"10,4"
"Portate a termine";"31,8";"35,2";"36,7";"42,9";"0,7"
"Non portate a termine";"3,9";"2,4";"3,4";"2,8";"9,6"
"Nessuna precedente esperienza universitaria";"63,7";"61,8";"59,9";"53,7";"88,9"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"50,8";"51,9";"55,8";"54,9";"36,4"
"Fattori prevalentemente culturali";"21,0";"18,0";"14,6";"14,1";"45,4"
"Fattori prevalentemente professionalizzanti";"13,9";"11,2";"18,7";"19,7";"3,9"
"Né gli uni né gli altri";"14,1";"18,5";"10,1";"11,3";"14,3"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"81,7";"78,3";"80,0";"80,8";"91,8"
"2 o più anni di ritardo";"18,3";"21,7";"20,0";"19,2";"8,2"
"Punteggio degli esami (medie, in 30-mi) ";"26,0";"25,9";"26,0";"25,7";"26,8"
"Voto di laurea (medie, in 110-mi) ";"103,0";"102,7";"102,0";"101,3";"107,5"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" "
"In corso";"23,0";"23,3";"18,5";"28,2";"17,0"
"1° anno fuori corso";"32,1";"33,6";"30,0";"34,1";"27,3"
"2° anno fuori corso";"15,0";"14,4";"12,6";"17,1";"14,9"
"3° anno fuori corso";"9,6";"10,4";"9,3";"8,0";"11,3"
"4° anno fuori corso";"6,5";"5,4";"8,9";"5,3";"8,9"
"5° anno fuori corso e oltre";"13,8";"12,9";"20,7";"7,3";"20,6"
"Durata degli studi (medie, in anni) ";"5,3";"4,9";"5,7";"4,4";"7,2"
"Ritardo alla laurea (medie, in anni) ";"1,9";"1,8";"2,6";"1,4";"2,2"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,59";"0,60";"0,86";"0,52";"0,45"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"73,7";"71,4";"73,0";"74,4";"77,5"
"Meno del 50%";"25,8";"27,9";"25,8";"25,2";"22,5"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"78,0";"79,1";"75,3";"73,0";"87,5"
"Tra il 50% e il 75%";"16,1";"14,9";"18,4";"18,9";"11,1"
"Tra il 25% e il 50%";"3,8";"3,9";"2,2";"6,0";"1,1"
"Meno del 25%";"1,7";"1,7";"3,0";"1,8";"0,4"
"Hanno usufruito del servizio di borse di studio (%)";"23,6";"25,5";"25,1";"18,3";"27,9"
