"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Numero dei laureati";"1696";"611";"289";"532";"264"
"Hanno compilato il questionario";"1646";"595";"282";"519";"250"
"Tasso di compilazione";"97,1";"97,4";"97,6";"97,6";"94,7"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Genere (%)";" ";" ";" ";" ";" "
"Uomini";"67,5";"61,7";"86,2";"73,3";"48,5"
"Donne";"32,5";"38,3";"13,8";"26,7";"51,5"
"Età alla laurea (%) ";" ";" ";" ";" ";" "
"Meno di 23 anni";"10,0";"8,3";"11,8";"14,3";"3,4"
"23-24 anni";"26,8";"26,7";"25,6";"33,8";"14,4"
"25-26 anni";"32,6";"32,9";"28,4";"27,1";"47,7"
"27 anni e oltre";"30,5";"32,1";"34,3";"24,8";"34,5"
"Età alla laurea (medie, in anni)";"26,3";"26,4";"26,6";"25,6";"26,8"
"Cittadini stranieri (%) ";"0,7";"0,8";"0,7";"0,4";"1,1"
"Residenza (%)";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"68,5";"67,9";"66,1";"68,8";"72,0"
"Altra provincia della stessa regione";"27,3";"28,0";"29,4";"27,3";"23,5"
"Altra regione";"4,0";"3,9";"3,8";"3,9";"4,2"
"Estero";"0,2";"0,2";"0,7";"-";"0,4"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" "
"Entrambi con laurea";"9,7";"6,7";"10,6";"10,6";"14,0"
"Uno solo con laurea";"17,6";"15,1";"20,2";"19,3";"16,8"
"Scuola media superiore";"47,1";"45,7";"42,6";"51,1";"47,6"
"Titoli inferiori o nessun titolo";"24,1";"31,6";"25,2";"17,3";"19,2"
"Classe sociale (%) ";" ";" ";" ";" ";" "
"Borghesia";"19,5";"17,3";"16,0";"21,6";"24,4"
"Classe media impiegatizia";"29,4";"25,2";"31,6";"31,8";"32,0"
"Piccola borghesia";"24,7";"26,6";"23,4";"22,9";"25,2"
"Classe operaia";"24,2";"28,2";"27,0";"21,6";"16,8"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" "
"Liceo classico";"6,3";"3,6";"5,5";"6,4";"12,9"
"Liceo linguistico";"1,5";"1,6";"0,3";"1,1";"3,0"
"Liceo scientifico";"62,4";"58,4";"57,4";"69,9";"62,1"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,5";"0,5";"-";"0,9";"-"
"Tecnico";"25,8";"31,4";"34,3";"20,1";"14,8"
"Professionale";"0,7";"1,0";"1,4";"0,2";"0,4"
"Istruzione artistica";"2,2";"2,8";"0,3";"0,9";"5,7"
"Titolo estero";"0,5";"0,7";"0,3";"0,2";"1,1"
"Voto di diploma (medie, in 100-mi) ";"88,5";"87,4";"88,9";"89,0";"89,5"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"67,7";"67,4";"63,7";"68,6";"70,8"
"In una provincia limitrofa";"25,4";"24,9";"30,8";"24,8";"21,6"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"6,3";"7,0";"5,2";"6,2";"6,1"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,1";"-";"-";"0,2";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,1";"-";"-";"-";"0,4"
"All'estero";"0,5";"0,7";"0,3";"0,2";"1,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"35,7";"36,8";"41,5";"44,1";"8,8"
"Portate a termine";"32,1";"33,8";"37,9";"41,8";"1,2"
"Non portate a termine";"3,6";"3,0";"3,5";"2,3";"7,6"
"Nessuna precedente esperienza universitaria";"64,0";"63,0";"58,2";"55,5";"90,4"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"54,8";"59,8";"54,3";"53,2";"46,8"
"Fattori prevalentemente culturali";"15,9";"14,8";"13,1";"9,1";"36,0"
"Fattori prevalentemente professionalizzanti";"15,9";"12,4";"20,9";"22,9";"3,6"
"Né gli uni né gli altri";"13,2";"12,8";"11,7";"14,6";"12,8"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"85,9";"81,0";"84,1";"88,2";"94,7"
"2 o più anni di ritardo";"14,1";"19,0";"15,9";"11,8";"5,3"
"Punteggio degli esami (medie, in 30-mi) ";"25,9";"26,0";"26,2";"25,3";"26,7"
"Voto di laurea (medie, in 110-mi) ";"102,5";"102,6";"103,2";"99,8";"106,9"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" "
"In corso";"17,1";"18,0";"19,0";"20,1";"6,8"
"1° anno fuori corso";"29,3";"28,0";"27,7";"32,0";"28,8"
"2° anno fuori corso";"20,7";"17,3";"19,4";"22,0";"27,3"
"3° anno fuori corso";"12,5";"12,9";"11,8";"12,4";"12,5"
"4° anno fuori corso";"7,3";"9,0";"6,2";"4,5";"9,8"
"5° anno fuori corso e oltre";"13,1";"14,7";"15,9";"9,0";"14,8"
"Durata degli studi (medie, in anni) ";"5,4";"5,3";"5,4";"4,6";"7,3"
"Ritardo alla laurea (medie, in anni) ";"2,0";"2,1";"2,2";"1,6";"2,1"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,64";"0,72";"0,74";"0,60";"0,44"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"74,8";"72,4";"79,8";"75,1";"74,0"
"Meno del 50%";"24,0";"26,2";"19,9";"23,7";"24,0"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"83,0";"85,9";"76,2";"78,0";"94,0"
"Tra il 50% e il 75%";"12,0";"9,7";"16,0";"16,2";"4,0"
"Tra il 25% e il 50%";"2,9";"2,9";"5,3";"2,7";"0,8"
"Meno del 25%";"1,7";"1,3";"2,1";"2,5";"0,4"
"Hanno usufruito del servizio di borse di studio (%)";"21,3";"24,9";"20,2";"17,0";"22,8"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,4";"5,7";"7,8";"9,4";"13,2"
"Con Erasmus o altro programma dell'Unione Europea";"5,7";"4,4";"6,7";"6,6";"5,6"
"Altra esperienza riconosciuta dal corso di studi";"1,0";"-";"0,4";"1,2";"4,0"
"Iniziativa personale";"1,6";"1,3";"0,7";"1,7";"3,2"
"Non hanno compiuto studi all'estero";"91,4";"93,8";"92,2";"90,6";"86,8"
"1 o più esami all'estero convalidati (%)";"3,8";"3,2";"2,5";"5,0";"4,4"
"Hanno preparato all'estero una parte significativa della tesi (%)";"7,7";"3,2";"6,0";"5,6";"24,8"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"43,1";"49,9";"30,1";"49,7";"28,0"
"Tirocini organizzati dal corso e svolti presso l'università";"21,7";"22,7";"13,8";"29,1";"13,2"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"16,6";"22,7";"11,7";"15,2";"10,8"
"Attività di lavoro successivamente riconosciute dal corso";"4,2";"4,2";"4,3";"4,8";"2,8"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"55,7";"48,2";"69,1";"49,1";"71,6"
"Mesi impiegati per la tesi/prova finale (medie)";"5,7";"4,5";"5,2";"4,7";"8,7"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno esperienze di lavoro (%) ";"63,3";"63,7";"55,0";"65,7";"66,8"
"Lavoratori-studenti";"3,0";"3,9";"2,5";"3,1";"1,2"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,4";"2,4";"2,8";"2,9";"1,2"
"Lavoro a tempo parziale";"18,0";"19,3";"16,7";"17,9";"16,8"
"Lavoro occasionale, saltuario, stagionale";"39,9";"38,2";"33,0";"41,8";"47,6"
"Nessuna esperienza di lavoro";"36,4";"36,0";"44,7";"33,9";"33,2"
"Lavoro coerente con gli studi";"12,4";"12,6";"13,1";"7,7";"20,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
