"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Numero dei laureati";"2051";"668";"395";"666";"322"
"Hanno compilato il questionario";"1968";"632";"379";"645";"312"
"Tasso di compilazione";"96,0";"94,6";"95,9";"96,8";"96,9"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Genere (%)";" ";" ";" ";" ";" "
"Uomini";"65,3";"57,6";"85,3";"73,9";"38,8"
"Donne";"34,7";"42,4";"14,7";"26,1";"61,2"
"Età alla laurea (%) ";" ";" ";" ";" ";" "
"Meno di 23 anni";"17,0";"12,0";"21,3";"23,9";"8,1"
"23-24 anni";"22,7";"20,2";"25,6";"26,0";"17,7"
"25-26 anni";"28,3";"31,0";"21,0";"26,1";"36,3"
"27 anni e oltre";"31,9";"36,8";"32,2";"24,0";"37,9"
"Età alla laurea (medie, in anni)";"26,2";"26,7";"26,2";"25,3";"26,7"
"Cittadini stranieri (%) ";"0,8";"0,9";"1,5";"0,5";"0,3"
"Residenza (%) ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"62,6";"62,1";"56,7";"65,8";"64,0"
"Altra provincia della stessa regione";"33,5";"35,0";"37,2";"30,2";"32,9"
"Altra regione";"3,9";"2,7";"6,1";"4,1";"3,1"
"Estero";"0,0";"0,1";"-";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Titolo di studio dei genitori (%) ";" ";" ";" ";" ";" "
"Entrambi con laurea";"9,5";"7,4";"6,6";"11,8";"12,2"
"Uno solo con laurea";"17,8";"16,8";"16,4";"18,8";"19,6"
"Scuola media superiore";"49,3";"50,3";"48,0";"50,4";"46,8"
"Titoli inferiori o nessun titolo";"22,2";"24,4";"26,9";"18,0";"20,8"
