"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Numero dei laureati";"1954";"614";"393";"658";"289"
"Hanno compilato il questionario";"1881";"591";"380";"636";"274"
"Tasso di compilazione";"96,3";"96,3";"96,7";"96,7";"94,8"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Genere (%)";" ";" ";" ";" ";" "
"Uomini";"66,0";"59,6";"83,7";"71,7";"42,6"
"Donne";"34,0";"40,4";"16,3";"28,3";"57,4"
"Età alla laurea (%) ";" ";" ";" ";" ";" "
"Meno di 23 anni";"18,4";"11,7";"22,9";"25,4";"10,4"
"23-24 anni";"23,8";"21,0";"25,7";"27,4";"19,0"
"25-26 anni";"23,2";"22,0";"22,4";"20,7";"32,5"
"27 anni e oltre";"34,6";"45,3";"29,0";"26,6";"38,1"
"Età alla laurea (medie, in anni)";"26,3";"27,1";"26,2";"25,4";"26,8"
"Cittadini stranieri (%) ";"0,6";"0,7";"0,3";"0,8";"0,3"
"Residenza (%) ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"63,4";"66,0";"56,2";"62,9";"68,9"
"Altra provincia della stessa regione";"32,7";"30,6";"37,4";"33,3";"29,4"
"Altra regione";"3,8";"3,4";"6,1";"3,8";"1,7"
"Estero";"0,1";"-";"0,3";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Titolo di studio dei genitori (%) ";" ";" ";" ";" ";" "
"Entrambi con laurea";"9,3";"9,3";"7,4";"9,9";"10,2"
"Uno solo con laurea";"17,9";"16,6";"15,3";"19,3";"21,2"
"Scuola media superiore";"49,1";"49,1";"51,6";"48,3";"47,8"
"Titoli inferiori o nessun titolo";"22,6";"24,4";"24,7";"21,4";"18,6"
"Classe sociale (%) ";" ";" ";" ";" ";" "
"Classe elevata";"18,4";"22,2";"13,4";"16,4";"22,3"
"Classe media impiegatizia";"32,5";"28,6";"33,9";"36,2";"30,3"
"Classe media autonoma";"23,4";"25,0";"22,1";"22,0";"24,8"
"Classe del lavoro esecutivo";"23,9";"22,3";"28,9";"24,1";"20,1"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" "
"Liceo classico";"7,5";"7,0";"3,3";"7,3";"14,9"
"Liceo linguistico";"1,5";"1,8";"0,3";"1,2";"3,5"
"Liceo scientifico";"67,4";"64,3";"61,1";"76,3";"62,3"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,5";"0,2";"0,3";"0,6";"1,0"
"Tecnico";"21,2";"25,2";"33,8";"14,3";"11,4"
"Professionale";"0,4";"-";"1,0";"0,2";"1,0"
"Istruzione artistica";"1,2";"1,3";"-";"-";"5,5"
"Titolo estero";"0,2";"0,2";"0,3";"0,2";"0,3"
"Voto di diploma (medie, in 100-mi) ";"87,1";"85,1";"89,5";"88,0";"86,0"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"62,1";"63,8";"55,5";"62,3";"67,1"
"In una provincia limitrofa";"27,0";"24,3";"33,8";"27,2";"22,8"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"9,0";"9,6";"9,2";"8,8";"8,0"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,2";"0,3";"-";"0,2";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,1";"-";"-";"0,2";"0,3"
"All'estero";"1,6";"2,0";"1,5";"1,4";"1,7"
