"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Numero dei laureati";"1544";"128";"1273";"143"
"Hanno compilato il questionario";"1503";"117";"1245";"141"
"Tasso di compilazione";"97,3";"91,4";"97,8";"98,6"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Genere (%)";" ";" ";" ";" "
"Uomini";"70,1";"42,2";"72,7";"71,3"
"Donne";"29,9";"57,8";"27,3";"28,7"
"Età alla laurea (%) ";" ";" ";" ";" "
"Meno di 23 anni";"15,3";"8,6";"16,9";"7,0"
"23-24 anni";"26,2";"21,1";"26,5";"28,0"
"25-26 anni";"28,0";"30,5";"26,8";"36,4"
"27 anni e oltre";"30,6";"39,8";"29,9";"28,7"
"Età alla laurea (medie, in anni)";"26,3";"27,0";"26,1";"26,7"
"Cittadini stranieri (%) ";"0,5";"1,6";"0,5";"-"
"Residenza (%)";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"69,3";"69,5";"67,7";"83,2"
"Altra provincia della stessa regione";"26,3";"26,6";"27,7";"14,0"
"Altra regione";"4,1";"3,1";"4,5";"2,1"
"Estero";"0,3";"0,8";"0,2";"0,7"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" "
"Entrambi con laurea";"9,8";"7,7";"10,4";"5,7"
"Uno solo con laurea";"17,2";"13,7";"17,9";"13,5"
"Scuola media superiore";"43,6";"48,7";"42,8";"46,1"
"Titoli inferiori o nessun titolo";"28,3";"27,4";"27,9";"32,6"
"Classe sociale (%) ";" ";" ";" ";" "
"Borghesia";"18,9";"16,2";"19,6";"14,9"
"Classe media impiegatizia";"30,7";"34,2";"30,0";"34,0"
"Piccola borghesia";"20,7";"22,2";"21,3";"14,2"
"Classe operaia";"27,6";"21,4";"27,3";"35,5"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Diploma (%)";" ";" ";" ";" "
"Liceo classico";"6,8";"13,3";"6,2";"6,3"
"Liceo linguistico";"0,8";"1,6";"0,7";"0,7"
"Liceo scientifico";"59,8";"54,7";"61,1";"53,1"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,4";"0,8";"0,2";"1,4"
"Tecnico";"29,9";"16,4";"30,5";"37,1"
"Professionale";"0,3";"1,6";"0,2";"0,7"
"Istruzione artistica";"1,5";"10,2";"0,7";"0,7"
"Titolo estero";"0,5";"1,6";"0,4";"-"
"Voto di diploma (medie, in 100-mi) ";"89,3";"87,2";"89,5";"89,1"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"69,0";"70,3";"66,8";"87,4"
"In una provincia limitrofa";"22,5";"21,1";"23,8";"11,9"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"7,9";"7,0";"8,9";"-"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,1";"-";"0,1";"0,7"
"Al Nord, ma si sono laureati al Centro-Sud";"-";"-";"-";"-"
"All'estero";"0,5";"1,6";"0,4";"-"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Hanno precedenti esperienze universitarie (%) ";"34,5";"17,9";"35,4";"40,4"
"Portate a termine";"30,4";"-";"32,9";"33,3"
"Non portate a termine";"4,1";"17,9";"2,5";"7,1"
"Nessuna precedente esperienza universitaria";"65,1";"82,1";"64,3";"58,9"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"55,6";"52,1";"54,9";"64,5"
"Fattori prevalentemente culturali";"16,6";"31,6";"16,1";"8,5"
"Fattori prevalentemente professionalizzanti";"15,3";"4,3";"16,4";"14,9"
"Né gli uni né gli altri";"12,2";"11,1";"12,4";"12,1"
"Età all'immatricolazione (%) ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"89,0";"91,4";"88,8";"88,8"
"2 o più anni di ritardo";"11,0";"8,6";"11,2";"11,2"
"Punteggio degli esami (medie, in 30-mi) ";"26,0";"25,6";"26,0";"26,2"
"Voto di laurea (medie, in 110-mi) ";"103,3";"105,4";"103,1";"103,5"
"Regolarità negli studi (%) ";" ";" ";" ";" "
"In corso";"20,1";"12,5";"21,3";"16,1"
"1° anno fuori corso";"30,2";"22,7";"31,9";"21,7"
"2° anno fuori corso";"18,1";"24,2";"16,7";"24,5"
"3° anno fuori corso";"10,8";"17,2";"10,0";"11,9"
"4° anno fuori corso";"4,9";"4,7";"4,5";"8,4"
"5° anno fuori corso e oltre";"16,1";"18,8";"15,6";"17,5"
"Durata degli studi (medie, in anni) ";"5,6";"7,4";"5,4";"5,5"
"Ritardo alla laurea (medie, in anni) ";"2,1";"2,5";"2,1";"2,3"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,64";"0,53";"0,64";"0,79"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" "
"Più del 50% della durata degli studi";"74,7";"79,5";"73,8";"78,7"
"Meno del 50%";"23,4";"19,7";"24,3";"19,1"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"86,6";"96,6";"85,7";"85,8"
"Tra il 50% e il 75%";"9,0";"2,6";"9,8";"7,8"
"Tra il 25% e il 50%";"2,1";"-";"2,0";"5,0"
"Meno del 25%";"1,9";"-";"2,1";"1,4"
"Hanno usufruito del servizio di borse di studio (%)";"24,7";"18,8";"24,5";"31,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,1";"14,5";"8,0";"4,3"
"Con Erasmus o altro programma dell'Unione Europea";"4,5";"3,4";"4,8";"2,8"
"Altra esperienza riconosciuta dal corso di studi";"1,3";"8,5";"0,6";"1,4"
"Iniziativa personale";"2,3";"1,7";"2,6";"-"
"Non hanno compiuto studi all'estero";"91,8";"85,5";"92,0";"95,7"
"1 o più esami all'estero convalidati (%)";"3,6";"2,6";"3,9";"1,4"
"Hanno preparato all'estero una parte significativa della tesi (%)";"6,1";"32,5";"4,1";"2,1"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"46,4";"29,1";"46,3";"61,0"
"Tirocini organizzati dal corso e svolti presso l'università";"25,1";"14,5";"25,9";"26,2"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"16,1";"9,4";"15,4";"27,7"
"Attività di lavoro successivamente riconosciute dal corso";"4,7";"1,7";"4,7";"7,1"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"52,4";"70,1";"52,5";"36,9"
"Mesi impiegati per la tesi/prova finale (medie)";"5,6";"9,6";"5,1";"5,1"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Hanno esperienze di lavoro (%) ";"63,7";"70,1";"63,1";"64,5"
"Lavoratori-studenti";"2,4";"0,9";"1,9";"7,8"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,4";"0,9";"3,5";"4,3"
"Lavoro a tempo parziale";"17,4";"19,7";"16,7";"22,0"
"Lavoro occasionale, saltuario, stagionale";"40,5";"48,7";"40,9";"30,5"
"Nessuna esperienza di lavoro";"35,7";"28,2";"36,5";"35,5"
"Lavoro coerente con gli studi";"15,2";"28,2";"13,6";"18,4"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" "
"Decisamente sì";"25,1";"20,5";"24,5";"34,8"
"Più sì che no";"60,7";"56,4";"61,6";"56,7"
"Più no che sì";"12,4";"19,7";"12,5";"5,7"
"Decisamente no";"1,1";"2,6";"1,0";"1,4"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" "
"Decisamente sì";"11,6";"14,5";"10,8";"17,0"
"Più sì che no";"64,2";"58,1";"64,3";"68,1"
"Più no che sì";"20,7";"24,8";"21,4";"10,6"
"Decisamente no";"2,4";"1,7";"2,6";"1,4"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" "
"Decisamente sì";"51,3";"53,8";"51,4";"48,2"
"Più sì che no";"42,4";"41,0";"42,6";"42,6"
"Più no che sì";"4,1";"2,6";"4,0";"6,4"
"Decisamente no";"0,9";"1,7";"0,8";"0,7"
"Valutazione delle aule (%)";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"8,7";"6,8";"9,2";"6,4"
"Spesso adeguate";"44,7";"31,6";"47,1";"34,8"
"Raramente adeguate";"39,2";"50,4";"37,0";"48,9"
"Mai adeguate";"6,9";"10,3";"6,3";"9,2"
"Non utilizzate";"0,2";"-";"0,2";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" "
"Presenti e in numero adeguato";"14,4";"5,1";"14,3";"22,7"
"Presenti, ma in numero inadeguato";"62,5";"23,1";"67,8";"48,9"
"Non presenti";"15,4";"65,0";"10,2";"20,6"
"Non utilizzate";"7,3";"6,0";"7,6";"6,4"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" "
"Decisamente positiva";"14,6";"8,5";"14,3";"22,7"
"Abbastanza positiva";"58,5";"47,9";"59,4";"60,3"
"Abbastanza negativa";"13,8";"24,8";"13,3";"9,2"
"Decisamente negativa";"6,1";"12,8";"5,6";"4,3"
"Non utilizzate";"6,5";"4,3";"7,1";"2,8"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" "
"Decisamente sì";"12,5";"11,1";"12,0";"18,4"
"Più sì che no";"57,6";"43,6";"59,2";"54,6"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"64,7";"41,0";"66,7";"67,4"
"Sì, ma ad un altro corso dell'Ateneo";"4,7";"2,6";"5,1";"3,5"
"Sì, allo stesso corso ma in un altro Ateneo";"23,1";"50,4";"21,4";"15,6"
"Sì, ma ad un altro corso e in un altro Ateneo";"5,4";"5,1";"4,8";"10,6"
"Non si iscriverebbero più all'università";"1,6";"-";"1,7";"2,1"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" "
"Inglese scritto";"69,9";"69,2";"70,4";"66,0"
"Inglese parlato";"60,3";"65,8";"59,9";"59,6"
"Francese scritto";"9,7";"17,1";"9,6";"4,3"
"Francese parlato";"9,4";"19,7";"8,9";"5,0"
"Spagnolo scritto";"4,5";"6,0";"4,5";"3,5"
"Spagnolo parlato";"4,9";"7,7";"4,7";"4,3"
"Tedesco scritto";"1,1";"0,9";"1,2";"-"
"Tedesco parlato";"1,2";"0,9";"1,4";"-"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" "
"Navigazione in Internet";"94,7";"98,3";"94,1";"96,5"
"Word processor (elaborazione di testi)";"86,5";"90,6";"85,4";"92,9"
"Fogli elettronici (Excel, ...)";"81,0";"76,1";"80,3";"90,8"
"Sistemi operativi";"67,6";"70,9";"66,3";"76,6"
"Multimedia (elaborazione di suoni, immagini, video)";"58,2";"67,5";"56,8";"62,4"
"Linguaggi di programmazione";"36,1";"16,2";"38,1";"34,8"
"Data base (Oracle, SQL server, Access, ...)";"33,8";"30,8";"32,4";"48,9"
"Realizzazione siti web";"22,8";"20,5";"22,1";"30,5"
"Reti di trasmissione dati";"27,0";"17,1";"26,9";"36,2"
"CAD/CAM/CAE - Progettazione assistita";"68,5";"96,6";"64,7";"79,4"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Intendono proseguire gli studi (%)";"65,7";"69,2";"65,0";"68,8"
"Laurea triennale";"0,1";"-";"0,2";"-"
"Laurea specialistica/magistrale";"46,2";"11,1";"48,7";"53,2"
"Dottorato di ricerca";"3,5";"8,5";"3,1";"2,1"
"Scuola di specializzazione post-laurea";"0,5";"0,9";"0,6";"-"
"Master universitario";"6,5";"26,5";"4,5";"7,8"
"Altro tipo di master o corso di perfezionamento";"2,6";"7,7";"1,9";"4,3"
"Tirocinio, praticantato";"2,3";"8,5";"1,9";"-"
"Attività sostenuta da borsa o assegno di studio";"1,2";"2,6";"1,1";"0,7"
"Altre attività di qualificazione professionale";"2,6";"2,6";"2,8";"0,7"
"Non intendono proseguire";"34,3";"30,8";"34,9";"31,2"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" "
"Acquisti";"18,2";"9,4";"19,0";"19,1"
"Amministrazione, contabilità";"24,2";"9,4";"24,4";"34,0"
"Assistenza tecnica";"30,9";"13,7";"31,0";"44,7"
"Commerciale, vendite";"19,9";"15,4";"20,4";"19,1"
"Controllo di gestione";"38,7";"15,4";"39,4";"52,5"
"Finanza";"19,3";"3,4";"20,2";"24,8"
"Legale";"7,7";"4,3";"7,1";"15,6"
"Logistica, distribuzione";"34,1";"11,1";"35,3";"42,6"
"Marketing, comunicazione, pubbliche relazioni";"26,5";"22,2";"26,5";"30,5"
"Organizzazione, pianificazione";"53,6";"38,5";"53,9";"63,1"
"Produzione";"46,4";"31,6";"46,9";"54,6"
"Ricerca e sviluppo";"57,8";"37,6";"58,6";"67,4"
"Risorse umane, selezione, formazione";"28,5";"20,5";"28,5";"35,5"
"Segreteria, affari generali";"14,2";"7,7";"13,8";"22,7"
"Sistemi informativi, EDP";"25,9";"7,7";"26,0";"40,4"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" "
"Acquisizione di professionalità";"84,8";"84,6";"84,8";"85,1"
"Possibilità di carriera";"77,6";"73,5";"77,5";"82,3"
"Possibilità di guadagno";"63,3";"65,8";"62,6";"68,1"
"Stabilità/sicurezza del posto di lavoro";"73,6";"71,8";"73,9";"72,3"
"Rispondenza a interessi culturali";"37,6";"62,4";"35,4";"36,2"
"Coerenza con gli studi";"44,7";"58,1";"43,7";"42,6"
"Indipendenza o autonomia";"43,0";"58,1";"41,4";"44,7"
"Tempo libero";"21,7";"31,6";"20,8";"21,3"
"Tipo di lavoro cercato (%)";" ";" ";" ";" "
"Nessuna preferenza";"56,1";"59,0";"55,4";"59,6"
"Alle dipendenze nel settore pubblico";"8,6";"5,1";"8,5";"12,8"
"Alle dipendenze nel settore privato";"23,4";"12,8";"25,4";"14,9"
"In conto proprio";"11,4";"23,1";"10,1";"12,8"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" "
"Tempo pieno";"91,5";"86,3";"92,0";"91,5"
"Part-time";"25,1";"37,6";"23,9";"26,2"
"Telelavoro";"9,7";"15,4";"9,2";"9,9"
"CONTRATTO";" ";" ";" ";" "
"Tempo indeterminato";"93,0";"90,6";"93,2";"93,6"
"A tempo determinato";"26,4";"26,5";"26,0";"29,8"
"Collaborazione (compreso lavoro a progetto)";"29,4";"42,7";"28,0";"30,5"
"Inserimento (ex formazione e lavoro)";"22,7";"26,5";"22,2";"23,4"
"Stage";"22,8";"35,9";"22,1";"18,4"
"Apprendistato";"15,6";"23,9";"15,1";"13,5"
"Lavoro interinale";"12,9";"16,2";"12,5";"13,5"
"Autonomo/in conto proprio";"45,1";"60,7";"42,6";"54,6"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" "
"Provincia di residenza";"73,7";"64,1";"74,5";"74,5"
"Sede degli studi";"71,0";"59,0";"72,4";"68,1"
"Italia settentrionale";"49,6";"43,6";"50,1";"50,4"
"Italia centrale";"51,8";"50,4";"51,9";"51,8"
"Italia meridionale";"52,5";"41,0";"52,9";"58,9"
"Stato europeo";"52,2";"53,0";"51,8";"54,6"
"Stato extraeuropeo";"38,4";"39,3";"38,1";"40,4"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"51,8";"46,2";"52,9";"47,5"
"Sì, anche frequenti (senza cambi di residenza)";"35,5";"38,5";"34,5";"41,8"
"Sì, ma solo in numero limitato";"10,8";"12,8";"10,8";"8,5"
"Non disponibili a trasferte";"0,5";"0,9";"0,5";"-"
