"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"7643";"113";"1013";"118";"221";"654";"122";"699";"403";"1478";"94";"157";"1455";"761";"23";"332"
"Hanno compilato il questionario";"5844";"98";"855";"98";"199";"460";"87";"475";"329";"1146";"83";"147";"1001";"646";"20";"200"
"Tasso di compilazione";"76,5";"86,7";"84,4";"83,1";"90,0";"70,3";"71,3";"68,0";"81,6";"77,5";"88,3";"93,6";"68,8";"84,9";"87,0";"60,2"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"31,8";"69,0";"41,5";"42,4";"25,8";"41,0";"34,4";"23,6";"13,4";"33,9";"40,4";"27,4";"12,1";"51,4";"52,2";"40,4"
"Donne";"68,2";"31,0";"58,5";"57,6";"74,2";"59,0";"65,6";"76,4";"86,6";"66,1";"59,6";"72,6";"87,9";"48,6";"47,8";"59,6"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"16,1";"7,1";"19,2";"25,4";"3,2";"0,5";"-";"16,9";"22,8";"17,3";"7,4";"22,3";"21,0";"16,6";"26,1";"11,7"
