"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"7546";"132";"900";"159";"226";"631";"89";"663";"454";"1428";"118";"147";"1413";"795";"31";"360"
"Hanno compilato il questionario";"6063";"126";"784";"124";"215";"483";"73";"475";"386";"1211";"111";"144";"985";"673";"28";"245"
"Tasso di compilazione";"80,3";"95,5";"87,1";"78,0";"95,1";"76,5";"82,0";"71,6";"85,0";"84,8";"94,1";"98,0";"69,7";"84,7";"90,3";"68,1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"31,7";"61,4";"47,2";"43,4";"37,2";"41,0";"38,2";"24,0";"10,6";"32,3";"31,4";"25,9";"10,5";"50,2";"35,5";"37,5"
"Donne";"68,3";"38,6";"52,8";"56,6";"62,8";"59,0";"61,8";"76,0";"89,4";"67,7";"68,6";"74,1";"89,5";"49,8";"64,5";"62,5"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"15,1";"12,1";"19,6";"15,1";"1,3";"0,8";"1,1";"19,3";"16,5";"21,6";"7,6";"23,1";"14,9";"14,7";"12,9";"8,3"
"23-24 anni";"28,8";"33,3";"30,7";"33,3";"22,6";"29,6";"24,7";"23,2";"30,6";"28,2";"15,3";"38,1";"31,5";"29,2";"41,9";"23,3"
"25-26 anni";"23,3";"28,8";"25,6";"23,9";"30,5";"27,7";"30,3";"24,3";"27,1";"17,8";"20,3";"29,9";"21,4";"22,1";"22,6";"25,0"
"27 anni e oltre";"32,7";"25,8";"24,2";"27,7";"45,6";"41,8";"43,8";"33,2";"25,8";"32,4";"56,8";"8,8";"32,1";"34,0";"22,6";"43,3"
"Età alla laurea (medie, in anni)";"27,0";"26,2";"25,9";"26,5";"27,8";"28,2";"27,6";"27,0";"25,9";"26,9";"28,7";"24,6";"27,3";"26,5";"25,4";"29,4"
"Cittadini stranieri (%) ";"1,3";"-";"1,6";"-";"3,5";"1,0";"-";"0,3";"2,2";"2,3";"0,8";"-";"0,5";"0,9";"-";"2,5"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"66,6";"54,5";"70,9";"89,9";"54,4";"64,3";"88,8";"65,5";"66,3";"73,7";"50,8";"65,3";"63,8";"59,1";"90,3";"62,2"
"Altra provincia della stessa regione";"27,1";"36,4";"21,1";"6,3";"40,7";"26,1";"5,6";"29,9";"26,0";"20,9";"33,1";"30,6";"31,6";"36,1";"6,5";"28,9"
