"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"8477";"132";"1229";"254";"1427";"590";"469";"1016";"88";"96";"1830";"904";"442"
"Hanno compilato il questionario";"6012";"129";"1043";"241";"870";"424";"396";"455";"77";"92";"1171";"822";"292"
"Tasso di compilazione";"70,9";"97,7";"84,9";"94,9";"61,0";"71,9";"84,4";"44,8";"87,5";"95,8";"64,0";"90,9";"66,1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"31,9";"61,4";"52,0";"29,1";"38,8";"19,8";"11,7";"34,2";"39,8";"29,2";"10,3";"42,6";"46,6"
"Donne";"68,1";"38,6";"48,0";"70,9";"61,2";"80,2";"88,3";"65,8";"60,2";"70,8";"89,7";"57,4";"53,4"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"14,1";"8,3";"13,3";"2,0";"9,5";"12,4";"17,7";"9,9";"4,5";"56,3";"21,7";"15,3";"7,0"
"23-24 anni";"27,9";"22,0";"30,6";"14,6";"21,4";"29,3";"32,8";"24,7";"18,2";"39,6";"31,3";"30,1";"30,8"
"25-26 anni";"21,0";"25,0";"19,7";"28,7";"24,9";"24,6";"20,3";"20,8";"19,3";"3,1";"18,6";"20,4";"19,2"
"27 anni e oltre";"37,0";"44,7";"36,5";"54,7";"44,2";"33,7";"29,2";"44,6";"58,0";"1,0";"28,4";"34,3";"43,0"
"Età alla laurea (medie, in anni)";"27,4";"27,9";"27,9";"27,8";"27,8";"26,9";"26,1";"28,9";"30,0";"23,1";"26,7";"26,5";"28,3"
"Cittadini stranieri (%) ";"1,2";"-";"0,6";"4,7";"0,9";"1,2";"3,0";"2,2";"1,1";"1,0";"0,7";"0,8";"1,4"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"73,8";"61,4";"79,3";"63,0";"73,9";"76,1";"80,6";"71,0";"55,7";"78,1";"75,5";"70,1";"66,5"
"Altra provincia della stessa regione";"19,2";"25,8";"11,5";"28,0";"18,1";"17,3";"13,9";"21,8";"39,8";"14,6";"20,3";"23,6";"23,8"
"Altra regione";"6,8";"12,9";"9,1";"8,7";"7,8";"6,4";"5,1";"6,3";"4,5";"7,3";"4,1";"6,3";"9,7"
"Estero";"0,2";"-";"0,1";"0,4";"0,3";"0,2";"0,4";"1,0";"-";"-";"0,1";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"6,4";"7,8";"5,8";"10,0";"9,4";"7,1";"5,1";"8,1";"9,1";"12,0";"3,2";"6,4";"4,5"
"Uno solo con laurea";"13,3";"15,5";"13,2";"14,5";"18,0";"14,2";"11,9";"12,5";"19,5";"22,8";"7,9";"14,8";"11,6"
"Scuola media superiore";"40,6";"33,3";"41,0";"33,6";"40,3";"43,4";"41,9";"34,5";"44,2";"40,2";"42,0";"42,0";"41,8"
"Titoli inferiori o nessun titolo";"38,2";"43,4";"39,4";"41,9";"30,9";"34,0";"40,7";"42,2";"22,1";"23,9";"44,2";"35,0";"40,8"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"15,1";"16,3";"17,4";"17,8";"19,4";"16,5";"13,9";"14,9";"22,1";"21,7";"10,1";"12,8";"14,4"
"Classe media impiegatizia";"31,4";"27,9";"27,9";"29,9";"35,1";"35,6";"28,5";"32,5";"37,7";"39,1";"29,2";"34,5";"28,4"
"Piccola borghesia";"21,6";"34,9";"23,8";"20,7";"19,8";"21,5";"24,2";"18,9";"18,2";"18,5";"22,5";"18,9";"20,2"
"Classe operaia";"28,2";"19,4";"28,7";"28,2";"23,4";"23,8";"30,3";"27,7";"11,7";"17,4";"32,3";"30,9";"32,9"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"18,7";"9,1";"6,5";"16,5";"32,5";"44,1";"13,0";"15,4";"21,6";"19,8";"16,6";"11,4";"14,9"
"Liceo linguistico";"5,0";"2,3";"2,0";"4,3";"3,6";"4,7";"33,9";"1,5";"8,0";"-";"4,4";"2,5";"4,8"
"Liceo scientifico";"31,2";"42,4";"29,0";"54,7";"30,7";"25,4";"21,5";"29,7";"39,8";"70,8";"22,6";"51,3";"27,8"
"Liceo socio-psico-pedagogico o ist. magistrale";"10,5";"3,8";"1,2";"4,3";"4,8";"11,9";"8,1";"8,5";"6,8";"3,1";"27,3";"3,3";"12,4"
"Tecnico";"26,8";"37,1";"58,9";"13,0";"24,7";"6,4";"19,0";"23,5";"21,6";"4,2";"18,0";"27,1";"33,7"
"Professionale";"4,3";"5,3";"1,8";"3,5";"2,1";"1,5";"1,3";"14,3";"1,1";"2,1";"4,6";"3,4";"4,5"
"Istruzione artistica";"0,6";"-";"-";"-";"0,1";"4,6";"0,2";"0,7";"-";"-";"0,5";"0,2";"0,7"
"Titolo estero";"0,9";"-";"0,7";"3,5";"0,8";"0,5";"2,3";"2,0";"1,1";"-";"0,3";"0,7";"0,7"
"Voto di diploma (medie, in 100-mi) ";"82,1";"80,8";"83,4";"82,4";"81,5";"83,7";"84,6";"79,0";"78,1";"95,4";"81,1";"85,2";"78,5"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno precedenti esperienze universitarie (%) ";"13,4";"15,5";"8,1";"6,2";"5,9";"18,4";"6,8";"18,9";"13,0";"18,5";"21,2";"16,2";"12,0"
"Portate a termine";"5,1";"7,0";"4,1";"1,7";"2,9";"2,1";"0,5";"4,6";"-";"16,3";"8,9";"7,4";"3,8"
