"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Numero dei laureati";"7859";"1090";"150";"211";"84";"209";"172";"55";"677";"241";"275";"62";"1423";"117";"53";"132";"1336";"44";"146";"262";"446";"674"
"Hanno compilato il questionario";"6313";"821";"115";"189";"81";"195";"105";"52";"504";"215";"171";"59";"1248";"104";"48";"127";"961";"41";"105";"241";"311";"620"
"Tasso di compilazione";"80,3";"75,3";"76,7";"89,6";"96,4";"93,3";"61,0";"94,5";"74,4";"89,2";"62,2";"95,2";"87,7";"88,9";"90,6";"96,2";"71,9";"93,2";"71,9";"92,0";"69,7";"92,0"
"1. ANAGRAFICO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"32,2";"16,3";"23,3";"22,7";"57,1";"25,4";"40,1";"72,7";"38,6";"82,6";"41,8";"33,9";"36,1";"41,9";"69,8";"55,3";"11,2";"36,4";"21,9";"50,4";"31,8";"47,6"
"Donne";"67,8";"83,7";"76,7";"77,3";"42,9";"74,6";"59,9";"27,3";"61,4";"17,4";"58,2";"66,1";"63,9";"58,1";"30,2";"44,7";"88,8";"63,6";"78,1";"49,6";"68,2";"52,4"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"16,5";"17,3";"20,7";"12,3";"6,0";"2,4";"16,9";"25,5";"0,6";"14,1";"5,1";"14,5";"25,7";"0,9";"18,9";"18,2";"20,2";"13,6";"3,4";"26,7";"13,7";"18,4"
"23-24 anni";"28,6";"31,1";"26,0";"32,7";"27,4";"22,5";"31,4";"34,5";"30,0";"31,5";"30,9";"24,2";"24,8";"13,7";"28,3";"35,6";"26,2";"25,0";"34,9";"28,2";"34,1";"30,7"
"25-26 anni";"22,9";"20,8";"25,3";"31,3";"27,4";"32,1";"17,4";"16,4";"29,7";"22,8";"29,8";"33,9";"17,8";"36,8";"13,2";"32,6";"19,2";"25,0";"24,7";"19,8";"19,1";"28,9"
"27 anni e oltre";"32,0";"30,7";"28,0";"23,7";"39,3";"43,1";"34,3";"23,6";"39,7";"31,5";"34,2";"27,4";"31,8";"48,7";"39,6";"13,6";"34,4";"36,4";"37,0";"25,2";"33,2";"22,0"
"Età alla laurea (medie, in anni)";"26,9";"26,6";"26,1";"25,5";"26,9";"27,8";"27,3";"25,7";"28,2";"26,6";"27,3";"26,8";"26,3";"28,5";"27,6";"25,5";"27,6";"26,7";"27,5";"26,0";"27,7";"25,7"
"Cittadini stranieri (%) ";"1,2";"2,7";"0,7";"0,9";"-";"3,8";"0,6";"-";"0,7";"-";"0,4";"1,6";"1,9";"0,9";"-";"-";"0,3";"-";"-";"1,9";"1,6";"0,4"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"64,7";"62,0";"63,3";"54,5";"69,0";"53,1";"64,5";"70,9";"61,4";"68,0";"92,0";"67,7";"66,3";"46,2";"52,8";"62,1";"63,2";"75,0";"65,8";"74,4";"56,5";"70,2"
"Altra provincia della stessa regione";"29,1";"32,2";"28,7";"40,3";"25,0";"38,8";"30,8";"27,3";"28,4";"28,6";"5,1";"24,2";"28,9";"38,5";"39,6";"31,8";"33,2";"18,2";"27,4";"18,3";"31,6";"21,7"
"Altra regione";"6,0";"4,7";"8,0";"5,2";"6,0";"7,2";"4,7";"1,8";"9,9";"3,3";"2,9";"6,5";"4,5";"15,4";"7,5";"5,3";"3,5";"6,8";"6,8";"6,9";"11,9";"8,2"
"Estero";"0,3";"1,1";"-";"-";"-";"1,0";"-";"-";"0,3";"-";"-";"1,6";"0,3";"-";"-";"0,8";"0,1";"-";"-";"0,4";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"6,5";"6,1";"5,2";"7,9";"16,0";"12,3";"9,5";"7,7";"11,3";"3,3";"2,9";"16,9";"7,2";"15,4";"14,6";"7,1";"2,2";"4,9";"7,6";"5,8";"2,6";"6,0"
"Uno solo con laurea";"12,9";"13,0";"13,0";"18,0";"14,8";"13,3";"11,4";"21,2";"19,0";"9,8";"18,1";"8,5";"12,4";"22,1";"10,4";"8,7";"8,5";"19,5";"12,4";"10,8";"10,6";"14,4"
"Scuola media superiore";"45,1";"48,6";"47,0";"47,1";"42,0";"36,9";"44,8";"57,7";"43,7";"54,9";"37,4";"52,5";"41,7";"33,7";"43,8";"50,4";"47,2";"43,9";"47,6";"43,2";"42,4";"46,6"
"Titoli inferiori o nessun titolo";"33,8";"30,9";"32,2";"22,8";"23,5";"35,9";"32,4";"13,5";"25,2";"31,2";"38,6";"18,6";"36,3";"28,8";"31,3";"33,9";"41,1";"29,3";"28,6";"39,0";"42,4";"31,5"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"15,0";"13,8";"11,3";"12,7";"24,7";"21,5";"15,2";"17,3";"24,8";"7,4";"14,0";"13,6";"15,0";"25,0";"27,1";"8,7";"9,1";"17,1";"14,3";"13,7";"10,0";"20,2"
"Classe media impiegatizia";"25,9";"27,2";"38,3";"34,4";"25,9";"21,5";"27,6";"25,0";"26,0";"30,2";"29,2";"30,5";"23,3";"29,8";"18,8";"31,5";"25,4";"31,7";"31,4";"25,7";"20,3";"23,4"
"Piccola borghesia";"21,7";"21,8";"17,4";"15,9";"9,9";"21,5";"18,1";"23,1";"21,2";"27,0";"11,1";"16,9";"20,3";"21,2";"39,6";"28,3";"23,2";"24,4";"17,1";"25,7";"25,1";"23,2"
"Classe operaia";"34,3";"33,7";"30,4";"29,6";"33,3";"33,3";"34,3";"34,6";"26,6";"34,0";"40,9";"35,6";"37,3";"21,2";"14,6";"29,9";"39,8";"22,0";"34,3";"32,8";"41,5";"30,3"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"17,4";"24,5";"20,0";"16,6";"15,5";"16,7";"36,0";"7,3";"31,9";"2,5";"15,6";"1,6";"14,3";"20,5";"13,2";"4,5";"15,3";"20,5";"43,8";"6,1";"13,2";"9,2"
"Liceo linguistico";"7,5";"24,0";"2,7";"4,7";"-";"4,8";"8,1";"1,8";"4,0";"1,7";"2,2";"4,8";"4,0";"3,4";"1,9";"0,8";"7,6";"2,3";"7,5";"3,8";"7,4";"4,0"
"Liceo scientifico";"36,0";"24,0";"54,7";"66,8";"59,5";"54,1";"32,0";"89,1";"30,0";"32,0";"28,7";"75,8";"51,3";"54,7";"49,1";"46,2";"23,4";"54,5";"18,5";"31,7";"25,1";"34,0"
"Liceo socio-psico-pedagogico o ist. magistrale";"10,4";"8,3";"8,0";"3,8";"1,2";"9,6";"11,6";"-";"6,1";"0,8";"2,9";"3,2";"6,7";"4,3";"3,8";"2,3";"29,6";"2,3";"6,2";"2,7";"18,4";"1,5"
"Tecnico";"23,0";"14,5";"6,0";"3,3";"16,7";"10,5";"9,3";"1,8";"25,4";"61,8";"45,1";"12,9";"15,8";"11,1";"28,3";"30,3";"15,9";"13,6";"8,9";"52,3";"30,5";"49,1"
"Professionale";"3,5";"1,5";"7,3";"3,3";"6,0";"1,0";"1,2";"-";"1,8";"1,2";"3,6";"-";"5,0";"3,4";"3,8";"15,2";"5,9";"2,3";"2,1";"1,9";"3,6";"1,2"
"Istruzione artistica";"1,0";"1,1";"-";"0,5";"1,2";"-";"1,2";"-";"0,3";"-";"1,1";"-";"0,6";"1,7";"-";"-";"1,6";"4,5";"13,0";"-";"0,2";"0,6"
"Titolo estero";"1,0";"2,0";"0,7";"0,9";"-";"3,3";"-";"-";"0,4";"-";"-";"1,6";"1,8";"0,9";"-";"0,8";"0,2";"-";"-";"1,5";"1,3";"0,3"
"Voto di diploma (medie, in 100-mi) ";"83,9";"85,7";"84,4";"91,9";"88,4";"86,0";"84,9";"96,1";"82,5";"82,0";"85,1";"95,1";"83,9";"80,4";"80,9";"83,9";"81,4";"84,1";"84,0";"83,9";"79,6";"85,5"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"63,5";"60,5";"62,7";"52,6";"67,9";"48,3";"62,2";"72,7";"61,9";"66,4";"90,9";"66,1";"64,3";"42,7";"52,8";"63,6";"63,0";"70,5";"69,2";"74,0";"54,9";"68,8"
"In una provincia limitrofa";"27,7";"30,4";"29,3";"37,9";"26,2";"32,1";"26,7";"21,8";"31,0";"24,9";"5,1";"29,0";"26,5";"24,8";"24,5";"24,2";"28,7";"22,7";"24,0";"21,0";"33,6";"27,4"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"7,0";"6,4";"6,7";"8,5";"6,0";"15,8";"9,9";"5,5";"5,8";"8,3";"1,5";"3,2";"6,5";"29,9";"20,8";"9,8";"7,7";"6,8";"5,5";"2,7";"8,5";"3,0"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,2";"0,1";"0,7";"-";"-";"-";"0,6";"-";"0,1";"-";"-";"-";"0,2";"-";"-";"-";"0,1";"-";"-";"-";"0,9";"0,1"
"Al Nord, ma si sono laureati al Centro-Sud";"0,6";"0,6";"-";"-";"-";"0,5";"0,6";"-";"0,7";"0,4";"2,5";"-";"0,6";"1,7";"1,9";"1,5";"0,2";"-";"1,4";"0,8";"0,7";"0,3"
"All'estero";"1,0";"2,1";"0,7";"0,9";"-";"3,3";"-";"-";"0,4";"-";"-";"1,6";"1,8";"0,9";"-";"0,8";"0,2";"-";"-";"1,5";"1,3";"0,3"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"32,6";"36,9";"20,9";"65,1";"44,4";"15,4";"53,3";"34,6";"5,6";"33,0";"28,1";"39,0";"27,6";"21,2";"27,1";"44,1";"36,1";"43,9";"43,8";"21,2";"29,3";"49,7"
"Portate a termine";"22,7";"30,8";"13,0";"63,0";"43,2";"7,2";"40,0";"32,7";"2,0";"18,1";"23,4";"35,6";"6,1";"13,5";"27,1";"35,4";"24,8";"39,0";"32,4";"14,5";"21,9";"47,1"
"Non portate a termine";"9,8";"6,1";"7,8";"2,1";"1,2";"8,2";"13,3";"1,9";"3,6";"14,9";"4,7";"3,4";"21,6";"7,7";"-";"8,7";"11,3";"4,9";"11,4";"6,6";"7,4";"2,6"
"Nessuna precedente esperienza universitaria";"67,0";"62,5";"77,4";"34,4";"55,6";"84,1";"46,7";"65,4";"94,0";"67,0";"71,9";"61,0";"72,0";"78,8";"72,9";"55,1";"63,8";"56,1";"55,2";"77,6";"70,4";"49,7"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"53,6";"41,2";"52,2";"39,7";"46,9";"62,6";"34,3";"50,0";"60,1";"58,1";"53,8";"55,9";"61,1";"56,7";"52,1";"58,3";"47,7";"43,9";"38,1";"59,8";"55,6";"61,3"
"Fattori prevalentemente culturali";"25,5";"39,3";"36,5";"45,0";"33,3";"22,1";"53,3";"42,3";"22,6";"14,4";"15,2";"25,4";"17,9";"27,9";"35,4";"21,3";"29,0";"31,7";"53,3";"13,3";"21,5";"13,5"
"Fattori prevalentemente professionalizzanti";"8,8";"4,9";"1,7";"4,2";"7,4";"7,2";"2,9";"3,8";"9,1";"15,3";"12,3";"6,8";"12,3";"8,7";"4,2";"7,1";"7,0";"-";"1,9";"14,9";"10,6";"11,0"
"Né gli uni né gli altri";"11,8";"14,6";"9,6";"11,1";"11,1";"8,2";"8,6";"3,8";"7,5";"12,1";"17,5";"10,2";"8,7";"6,7";"8,3";"12,6";"16,1";"24,4";"5,7";"12,0";"12,2";"13,7"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"76,9";"76,7";"87,3";"69,2";"78,6";"87,6";"65,1";"89,1";"91,1";"83,8";"79,6";"80,6";"76,1";"90,6";"75,5";"81,1";"66,5";"79,5";"74,0";"87,4";"69,7";"78,0"
"2 o più anni di ritardo";"23,1";"23,3";"12,7";"30,8";"21,4";"12,4";"34,9";"10,9";"8,9";"16,2";"20,4";"19,4";"23,9";"9,4";"24,5";"18,9";"33,5";"20,5";"26,0";"12,6";"30,3";"22,0"
"Punteggio degli esami (medie, in 30-mi) ";"26,6";"27,5";"25,7";"27,3";"26,3";"24,1";"28,6";"27,5";"26,1";"25,3";"25,9";"26,3";"26,4";"25,2";"26,2";"26,0";"27,1";"26,7";"27,6";"25,5";"26,3";"26,2"
"Voto di laurea (medie, in 110-mi) ";"104,7";"107,4";"102,3";"106,7";"105,0";"99,3";"110,8";"108,3";"103,4";"102,0";"103,1";"102,8";"105,7";"99,8";"105,1";"104,5";"105,0";"106,1";"107,6";"100,8";"101,8";"103,6"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
