"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"7038";"136";"1048";"196";"1549";"591";"460";"672";"82";"21";"1237";"678";"368"
"Hanno compilato il questionario";"5205";"135";"891";"182";"959";"457";"405";"227";"69";"21";"978";"609";"272"
"Tasso di compilazione";"74,0";"99,3";"85,0";"92,9";"61,9";"77,3";"88,0";"33,8";"84,1";"100,0";"79,1";"89,8";"73,9"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"33,1";"64,7";"50,3";"26,0";"41,3";"20,5";"10,0";"36,0";"41,5";"14,3";"8,5";"45,0";"45,9"
"Donne";"66,9";"35,3";"49,7";"74,0";"58,7";"79,5";"90,0";"64,0";"58,5";"85,7";"91,5";"55,0";"54,1"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"8,4";"10,3";"5,8";"0,5";"4,3";"4,4";"6,1";"2,7";"-";"85,7";"20,3";"13,4";"4,9"
"23-24 anni";"22,2";"14,0";"23,2";"20,4";"18,4";"31,1";"24,6";"22,8";"12,2";"9,5";"26,2";"17,3";"18,8"
"25-26 anni";"25,5";"33,1";"26,0";"32,7";"26,0";"27,1";"27,2";"26,0";"23,2";"-";"22,2";"22,9";"28,0"
"27 anni e oltre";"43,9";"42,6";"44,9";"46,4";"51,3";"37,4";"42,2";"48,5";"64,6";"4,8";"31,3";"46,5";"48,4"
"Età alla laurea (medie, in anni)";"27,6";"28,3";"27,7";"27,3";"28,2";"27,3";"27,3";"28,4";"29,5";"22,4";"26,5";"27,4";"28,4"
"Cittadini stranieri (%) ";"1,0";"0,7";"1,1";"3,6";"0,2";"0,8";"2,2";"2,8";"-";"-";"0,3";"1,3";"0,3"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"69,2";"58,8";"74,8";"56,6";"67,3";"68,4";"73,7";"70,8";"52,4";"90,5";"71,6";"65,0";"65,5"
"Altra provincia della stessa regione";"23,1";"30,9";"15,9";"34,2";"23,2";"24,9";"20,9";"21,3";"35,4";"9,5";"24,3";"28,3";"23,1"
"Altra regione";"7,4";"10,3";"8,9";"7,7";"9,5";"6,3";"4,1";"7,3";"12,2";"-";"4,0";"6,3";"11,4"
"Estero";"0,3";"-";"0,4";"1,5";"-";"0,5";"1,3";"0,6";"-";"-";"0,2";"0,3";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"7,0";"8,9";"5,6";"10,4";"10,6";"7,7";"4,4";"11,0";"10,1";"19,0";"3,8";"6,7";"5,1"
"Uno solo con laurea";"13,1";"16,3";"12,0";"18,1";"17,1";"14,4";"12,3";"16,7";"21,7";"19,0";"8,2";"11,5";"11,4"
"Scuola media superiore";"37,7";"23,0";"38,2";"38,5";"37,7";"42,7";"45,9";"31,7";"37,7";"23,8";"32,6";"40,2";"40,1"
"Titoli inferiori o nessun titolo";"38,2";"51,1";"42,5";"33,0";"33,3";"33,0";"36,5";"38,3";"30,4";"28,6";"40,2";"40,1";"41,5"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"15,6";"15,6";"16,0";"24,2";"22,4";"15,1";"13,3";"16,7";"21,7";"19,0";"10,0";"12,3";"13,2"
"Classe media impiegatizia";"32,4";"28,1";"27,4";"31,3";"34,0";"39,4";"37,3";"32,2";"42,0";"28,6";"28,3";"34,6";"34,9"
"Piccola borghesia";"22,0";"32,6";"26,8";"20,3";"20,9";"18,2";"21,5";"23,3";"18,8";"14,3";"20,6";"20,0";"23,2"
"Classe operaia";"22,9";"17,0";"25,0";"20,3";"18,5";"21,2";"23,5";"22,5";"17,4";"23,8";"23,9";"27,8";"24,6"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"20,6";"12,5";"5,2";"24,0";"32,2";"45,9";"13,0";"18,3";"19,5";"4,8";"17,8";"11,1";"19,0"
"Liceo linguistico";"4,6";"-";"2,0";"2,6";"2,4";"3,0";"31,3";"1,5";"2,4";"-";"3,4";"2,4";"7,6"
