"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"7840";"149";"1035";"122";"240";"673";"151";"797";"425";"1318";"100";"131";"1466";"722";"108";"403"
"Hanno compilato il questionario";"6275";"136";"954";"86";"226";"488";"101";"532";"364";"1132";"97";"129";"1044";"630";"89";"267"
"Tasso di compilazione";"80,0";"91,3";"92,2";"70,5";"94,2";"72,5";"66,9";"66,8";"85,6";"85,9";"97,0";"98,5";"71,2";"87,3";"82,4";"66,3"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"31,5";"68,5";"42,6";"45,1";"25,0";"36,1";"45,0";"22,2";"12,9";"35,4";"41,0";"21,4";"12,9";"44,7";"84,3";"32,3"
"Donne";"68,5";"31,5";"57,4";"54,9";"75,0";"63,9";"55,0";"77,8";"87,1";"64,6";"59,0";"78,6";"87,1";"55,3";"15,7";"67,7"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"14,9";"17,4";"18,8";"11,5";"0,4";"0,3";"0,7";"18,2";"21,4";"20,9";"5,0";"19,1";"17,5";"12,2";"6,5";"9,7"
"23-24 anni";"28,6";"32,9";"30,0";"30,3";"25,8";"27,8";"27,2";"28,2";"28,9";"26,9";"17,0";"34,4";"29,7";"29,1";"27,8";"29,3"
"25-26 anni";"23,6";"17,4";"26,0";"35,2";"31,7";"29,0";"28,5";"22,5";"23,3";"20,0";"29,0";"35,9";"17,9";"28,1";"27,8";"20,8"
"27 anni e oltre";"32,8";"32,2";"25,1";"23,0";"42,1";"42,9";"43,7";"31,1";"26,4";"32,2";"49,0";"10,7";"34,9";"30,6";"38,0";"40,2"
"Età alla laurea (medie, in anni)";"27,1";"27,6";"26,0";"25,9";"27,7";"28,5";"28,9";"27,0";"25,8";"26,7";"28,0";"24,8";"27,6";"26,4";"26,5";"29,2"
"Cittadini stranieri (%) ";"1,2";"-";"1,6";"-";"3,3";"0,9";"-";"0,4";"3,1";"1,6";"-";"-";"0,5";"0,6";"0,9";"3,2"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"65,8";"65,1";"70,4";"93,4";"59,6";"62,4";"94,0";"64,9";"63,8";"68,7";"43,0";"68,7";"64,4";"65,8";"40,7";"56,3"
"Altra provincia della stessa regione";"27,6";"25,5";"22,0";"4,9";"34,2";"28,7";"2,0";"29,0";"28,7";"26,3";"35,0";"26,0";"31,4";"30,3";"25,0";"34,5"
"Altra regione";"6,3";"8,7";"7,2";"1,6";"5,4";"8,8";"4,0";"6,0";"6,6";"4,9";"22,0";"5,3";"4,0";"3,5";"34,3";"8,9"
"Estero";"0,3";"0,7";"0,3";"-";"0,8";"0,1";"-";"0,1";"0,9";"0,2";"-";"-";"0,1";"0,4";"-";"0,2"
"2. ORIGINE SOCIALE"
